date,away,away_score,home_score,home
2017/10/28,KIA,6,3,두산
2017/10/29,KIA,5,1,두산
2017/10/30,KIA,7,6,두산
2018/3/24,한화,3,6,넥센
2018/3/24,LG,2,4,NC
2018/3/24,롯데,5,6,SK
2018/3/24,삼성,6,3,두산
2018/3/24,kt,5,4,KIA
2018/3/25,한화,4,1,넥센
2018/3/25,LG,1,7,NC
2018/3/25,롯데,0,5,SK
2018/3/25,삼성,4,5,두산
2018/3/25,kt,1,14,KIA
2018/3/27,LG,4,5,넥센
2018/3/27,한화,6,9,NC
2018/3/27,kt,5,8,SK
2018/3/27,롯데,0,5,두산
2018/3/27,삼성,0,17,KIA
2018/3/28,LG,9,3,넥센
2018/3/28,한화,6,2,NC
2018/3/28,kt,8,5,SK
2018/3/28,롯데,5,6,두산
2018/3/28,삼성,6,0,KIA
2018/3/29,LG,4,9,넥센
2018/3/29,한화,1,4,NC
2018/3/29,kt,7,1,SK
2018/3/29,롯데,1,4,두산
2018/3/29,삼성,0,7,KIA
2018/3/30,SK,8,4,한화
2018/3/30,넥센,10,8,삼성
2018/3/30,NC,7,5,롯데
2018/3/30,KIA,4,3,LG
2018/3/30,두산,6,2,kt
2018/3/31,SK,12,1,한화
2018/3/31,넥센,4,2,삼성
2018/3/31,NC,10,5,롯데
2018/3/31,KIA,4,6,LG
2018/3/31,두산,8,20,kt
2018/4/1,SK,13,1,한화
2018/4/1,넥센,5,6,삼성
2018/4/1,NC,2,3,롯데
2018/4/1,KIA,5,6,LG
2018/4/1,두산,4,9,kt
2018/4/3,kt,7,1,넥센
2018/4/3,롯데,11,17,한화
2018/4/3,삼성,3,4,NC
2018/4/3,KIA,3,13,SK
2018/4/3,LG,4,5,두산
2018/4/4,kt,2,10,넥센
